model_s,tail_num,mfg,model,updated,comment
a61f27,N494CA,BOMBARDIER INC,CL-600-2B19,1464739200,
aa11e7,N748SW,BOEING,B737,1464739201,B737
a62695,N496CA,,CRJ2,1464739201,CRJ2
ac407d,N889NN,BOEING,737-823,1464739200,
ad5369,N958LR,CANADAIR CRJ-900LR,CRJ9,1466992601,AMERICAN EAGLE
ab7080,N836VA,AIRBUS,A320-214,1464739200,
abaceb,N851VA,AIRBUS,A320-214,1464739200,
abf17f,N869NN,BOEING,737-823,1464739200,
a657b9,N508AS,,B738,1464739201,B737-890(WL)
a6f326,N547NN,BOMBARDIER INC,CL-600-2D24,1466168186,
a5ff93,N486HA,BOEING,717-200,1464739200,
ad854a,N970SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a3ed7c,N352NW,,A320,1464739201,A320-212
a1314e,N176UW,AIRBUS INDUSTRIE,A321-211,1464739200,
a600e4,N486WN,BOEING,737-7H4,1464739200,
abeb74,N8672F,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a8299a,N625JB,,A320,1464739201,A320-232
a486b3,N391CA,BOMBARDIER INC,CL-600-2C10,1464739200,
a5669f,N447WN,BOEING,737-7H4,1464739200,
abca00,N859NN,BOEING,737-823,1464739200,
ab3edd,N82333,EMBRAER S A,ERJ 170-200 LR,1464739200,
a66c99,N513AE,,CRJ7,1464739201,CRJ7
a0cc06,N150UW,AIRBUS,A321-211,1464739200,
a3ef1b,N35236,,B738,1464739201,B737-824/W
aa5690,N76504,,B738,1464739201,B737-824/W
a84a6d,N633RW,EMBRAER,ERJ 170-100 SE,1464739200,
a61f05,N494AS,BOEING 737-990(ER),B739,1466992601,ALASKA AIRLINES
a537ed,N435YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a837b1,N629AE,EMBRAER,EMB-145LR,1464739200,
a8e37c,N672DL,BOEING,757-232,1464739200,
ab5e6c,N8310C,,B738,1464739201,B738
aadb19,N799SW,BOEING,B737,1464739201,B737
aabd56,N791SK,,CRJ7,1464739201,CRJ7
a5686a,N448AW,,CRJ2,1464739201,CRJ2
a5adf1,N465UA,,A320,1464739201,A320-232
a01805,N105HQ,EMBRAER,ERJ 170-200 LR,1464739200,
aa7427,N77296,BOEING,737-824,1464739200,
a27737,N258WN,BOEING,737-7H4,1464739200,
a837a3,N62892,BOEING 737-924,B739,1466992601,UNITED AIRLINES
ad50a9,N957WN,BOEING,737-7H4,1464739200,
a07fa6,N131HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a34825,N310PQ,BOMBARDIER INC,CL-600-2D24,1466168185,
a23a28,N24224,,B738,1464739201,B737-824
acdd1b,N928NN,BOEING,737-823,1464739200,
a08e3c,N135EV,BOMBARDIER INC,CL-600-2D24,1464739200,
ac9e9f,N912FJ,,CRJ9,1464739201,CRJ9
a99df4,N719EV,BOMBARDIER INC,CL-600-2C10,1464739200,
ab1971,N814NN,BOEING,737-823,1464739200,
aa4a9b,N762SW,BOEING,737-7H4,1464739200,
a15c01,N187PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a46d4e,N38458,BOEING,737-924ER,1464739200,
aa2ba5,N75429,,B739,1464739201,B737-924
a4189f,N363NB,,A319,1464739201,A319-114
a6c3ca,N535JB,,A320,1464739201,A320-232
a7d665,N604CZ,,E170,1464739201,ERJ-170-200LR
ad273b,N947AT,,B712,1464739201,B717-2BD
aa5691,N76505,BOEING,737-824,1464739200,
a87196,N643NK,AIRBUS,A320-232,1464739200,
a54601,N439QX,BOMBARDIER INC,DHC-8-402,1464739200,
abd9b6,N8628A,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a15b77,N187JB,,E190,1464739201,ERJ-190-100AR
a465df,N38257,BOEING,737-824,1464739200,
ab128d,N812UA,AIRBUS INDUSTRIE,A319-131,1464739200,
acc31a,N921NN,BOEING,737-823,1464739200,
a52aa1,N432AW,,CRJ2,1464739201,CRJ2
aae377,N800SK,BOMBARDIER INC,CL-600-2D24,1464739200,
acab54,N915XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
a49510,N39475,BOEING,737-924ER,1464739200,
a56e0d,N449WN,BOEING,737-7H4,1464739200,
acb9bf,N919SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a6fb32,N549UW,,A321,1464739201,A321
aa8c10,N779SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a677be,N516AE,,CRJ7,1464739201,CRJ7
a6f6dd,N548NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a08f6b,N135SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a9704d,N707TW,BOEING,757-2Q8,1464739200,
acf50b,N934FJ,,CRJ9,1464739201,CRJ9
aa11dc,N748SK,BOMBARDIER INC,CL-600-2C10,1464739200,
aa1a16,N750AN,BOEING,777-223,1464739200,
a869bc,N641JB,,A320,1464739201,A320-232
adcdcc,N989NN,BOEING,737-823,1466168188,
a6b0d2,N530EA,BOMBARDIER INC,CL-600-2C10,1464739200,
aa3ae4,N75853,,B753,1464739201,B757-324
a53e93,N437QX,BOMBARDIER INC,DHC-8-402,1464739200,
a5d965,N476WN,BOEING,B737,1464739201,B737-7H4/W
a846c4,N632SK,,CRJ7,1464739201,CRJ7
a0e7f4,N158AN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
ad8fa4,N973JT,THOCKER JON,RV-6A,1464739200,
a43e5b,N37252,,B738,1464739201,B737-824/W
ab628c,N8323C,BOEING,737-8H4,1464739200,
a5b3b1,N467AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a6b48f,N531EG,BOMBARDIER INC,CL-600-2C10,1464739200,
a4efc6,N417SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a0faf3,N162UW,,A321,1464739201,A321-211
a8f975,N678AE,,E145,1464739201,ERJ-145LR
acc040,N920XJ,,CRJ9,1464739201,CRJ9
a56661,N447UA,,A320,1464739201,A320-232
ada521,N979AN,,B738,1464739201,B737-823
a73348,N563NN,CANADAIR CRJ-900,CRJ9,1466992601,AMERICAN EAGLE
ace6b3,N930LR,,CRJ9,1464739201,CRJ9
a264a4,N253WN,BOEING,B737,1464739201,B737
ac6638,N8986B,,CRJ2,1464739201,CRJ2
aaf938,N806MD,,E170,1464739201,E170
a43ec9,N37287,,B738,1464739201,B737-824/W
a6e89f,N544UW,,A321,1464739201,A321
ac4dfb,N892NN,BOEING,737-823,1464739200,
ad2ea4,N949AN,BOEING,737-823,1464739200,
a78d73,N586NW,BOEING,757-351,1464739200,
a44031,N373NW,,A320,1464739201,A320-212
acf2cf,N933WN,BOEING,737-7H4,1464739200,
ad1c16,N944AT,,B712,1464739201,B712
a5540c,N442WN,BOEING,737-7H4,1464739200,
a66346,N510UW,,A321,1464739201,A321-231
a1d44e,N217JC,BOEING,B737,1464739201,B737-7H4/W
aa7e3a,N7752B,BOEING,737-7BD,1464739200,
a031bd,N111US,,A320,1464739201,A320-214
a9327a,N692DL,BOEING,757-232,1464739200,
a7ef08,N610CZ,,E170,1464739201,ERJ-170-200LR
a445d9,N3746H,,B738,1464739201,B737-832
add2b5,N990AT,BOEING,717-200,1464739200,
ab6b02,N835AW,,A319,1464739201,A319-132
a14ad1,N18220,,B738,1464739201,B737-824
a6e376,N543EA,BOMBARDIER INC,CL-600-2C10,1464739200,
aa735a,N7724A,BOEING,737-7BD,1464739200,
a81642,N620AE,,E145,1464739201,ERJ-145LR
a6c71c,N536EA,,CRJ7,1464739201,CRJ7
ad0f29,N940WN,BOEING,B737,1464739201,B737
a82167,N623AE,,E145,1464739201,ERJ-145LR
abc573,N858DZ,BOEING,737-932ER,1464739200,
abac48,N851NN,BOEING,737-823,1464739200,
a099a7,N138HQ,,E170,1464739201,ERJ-170-200LR
ac5331,N89321,EMBRAER S A,ERJ 170-200 LR,1466168187,
a82520,N624AG,BOEING,757-2Q8,1464739200,
a70523,N551WN,BOEING,B737,1464739201,B737-76Q
a7668a,N576UW,AIRBUS A321-231,A321,1466992601,US AIRWAYS
a0d344,N152SY,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
ad292a,N947WN,BOEING,737-7H4,1464739200,
