model_s,tail_num,mfg,model,updated,comment 
a11fc7,N17139,BOEING,757-224,1464739200,
a24c73,N24702,BOEING,B737,1464739201,B737-724/W
ac2bd9,N88335,EMBRAER S A,ERJ 170-200 LR,1464739200,
a199fe,N202FR,AIRBUS,A320-214,1464739200,
a508c5,N423WN,BOEING,B737,1464739201,B737-7H4
a74679,N568UW,AIRBUS,A321-231,1464739200,
a0bf26,N14704,BOEING,737-724,1464739200,
a5fcef,N485UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a3be7c,N340NB,,A319,1464739201,A319-114
a8e20f,N6712B,BOEING,757-232,1464739200,
a335ad,N306AS,,B739,1464739201,B737-990
a0337c,N11189,EMBRAER,EMB-145XR,1464739200,
adacfd,N980UY,NONE,A321,1466992601,NONE
aa305f,N756AM,BOEING,777-223,1464739200,
abcf2f,N860DN,BOEING 737-932(ER),B739,1466992601,DELTA AIR LINES
a566da,N447YX,EMBRAER S A,ERJ 170-200 LR,1466168186,
aa5428,N765AN,,B772,1464739201,B777-223 (ER)
ab417a,N824UA,,A319,1464739201,A319-131
ad08bd,N939SW,,CRJ2,1464739201,CL-600 2B19 CRJ-200ER
a524c3,N430SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
ac7074,N900PC,BOEING,757-26D,1464739200,
a8d600,N669DN,,B752,1464739201,B757-232
a4aea2,N400WN,BOEING,737-7H4,1464739200,
a2cb33,N27965,BOEING,787-9,1466168185,
a98539,N712TW,BOEING,757-2Q8,1464739200,
a9d286,N732AN,BOEING,777-323ER,1466168187,
a03356,N11176,,E145,1464739201,EMB-145XR
a55220,N442AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a0144e,N104HQ,,E170,1464739201,ERJ-170-200LR
a8c6e1,N665AW,,A320,1464739201,A320-232
a05ad1,N12172,EMBRAER,EMB-145XR,1464739200,
a569c9,N448QX,,DH8D,1464739201,DH8D
a0f86b,N16149,,E145,1464739201,EMB-145XR
a3b87f,N339NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a76d5a,N578NN,NONE,CRJ9,1466992601,NONE
a05a6b,N12145,,E145,1464739201,EMB-145XR
a88774,N649JB,,A320,1464739201,A320-232
a0a8da,N14102,BOEING,757-224,1464739200,
a988cc,N713SK,,CRJ7,1464739201,CL-600-2C10 CRJ-700
a46ad6,N384HA,AIRBUS,A330-243,1464739200,
a895b4,N652RW,EMBRAER,ERJ 170-100 SE,1464739200,
a842a9,N631NK,AIRBUS A320-232,A320,1466992601,SPIRIT AIRLINES
a313fc,N298JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a789b4,N585NN,BOMBARDIER INC,CL-600-2D24,1466168186,
ad3cdf,N952JB,AIRBUS,A321-231,1466168188,
abebbe,N8674B,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a087fd,N133SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a884b6,N648UA,,B763,1464739201,B767-322 (ER)
ace6e2,N930NN,BOEING,737-823,1464739200,
ab8f0d,N844DN,BOEING,737-932ER,1464739200,
a6ee47,N546AS,,B738,1464739201,B737-890/W
a71f24,N558WN,BOEING 737-73V,B737,1466992601,SOUTHWEST AIRLINES
aaf183,N804JB,AIRBUS,A320-232,1464739200,
a55ed5,N445SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a9bd9a,N727AN,BOEING,777-323ER,1464739200,
a6c781,N536JB,,A320,1464739201,A320-232
abb775,N854NW,AIRBUS,A330-223,1464739200,
a98445,N712JB,,A320,1464739201,A320-232
ab329e,N820UA,AIRBUS INDUSTRIE,A319-131,1464739200,
a66174,N510AE,BOMBARDIER INC,CL-600-2C10,1464739200,
a1d63d,N21723,BOEING,737-724,1464739200,
ac7e8e,N904FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
3c4970,N820NW,,A333,1464739201,A330-323X
a658de,N508NK,,A319,1464739201,A319-132
a92145,N688DL,,B752,1464739201,B757-232
a05671,N12028,AIRBUS,A319-115,1464739200,
a97c9a,N710FR,AIRBUS,A321-211,1466168187,
a6c248,N53442,,B739,1464739201,B737-924-ER
a89f62,N655AW,AIRBUS INDUSTRIE,A320-232,1464739200,
a39e6b,N332NB,,A319,1464739201,A319-114
ab8880,N842NN,,B738,1464739201,B738
adb0b4,N981UY,NONE,A321,1466992601,NONE
a376ec,N322NB,,A319,1464739201,A319-114
49d1a8,N857NW,,A332,1464739201,A330-223
a097ce,N13718,BOEING,737-724,1464739200,
abaeb2,N8519R,BOEING,737-8H4,1464739200,
aab812,N790AN,BOEING,777-223,1464739200,
a27600,N258JB,EMBRAER,ERJ 190-100 IGW,1464739200,
aa56b3,N76514,,B738,1464739201,B737-824
a43ee5,N37290,BOEING,737-824,1464739200,
a828d5,N625AE,,E145,1464739201,ERJ-145LR
a437b5,N371CA,,CRJ7,1464739201,CRJ7
a2b8c5,N27477,BOEING,737-924ER,1464739200,
a07cd8,N130SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
ab355c,N821JB,AIRBUS,A320-232,1464739200,
a486cc,N391DA,BOEING,737-832,1464739200,
aaeb0e,N802UA,,A319,1464739201,A319-131
a8a017,N655JB,,A320,1464739201,A320-232
a03fff,N115NN,AIRBUS INDUSTRIE,A321-231,1464739200,
ab6b04,N835AY,BOMBARDIER INC,CL-600-2B19,1464739200,
ad1d0e,N944LR,BOMBARDIER INC,CL-600-2D24,1464739200,
aab99f,N790SK,BOMBARDIER INC,CL-600-2C10,1464739200,
ad3d4e,N952NN,BOEING,737-823,1464739200,
ab7437,N837VA,AIRBUS,A320-214,1464739200,
a05dd8,N12221,BOEING,737-824,1464739200,
a7178c,N556UW,AIRBUS A321-231,A321,1466992601,US AIRWAYS
a89451,N652BR,,CRJ2,1464739201,CL-600 2B19 CRJ-200ER
a9bb70,N726SK,,CRJ7,1464739201,CL-600-2C10 Regional Jet CRJ-700
a9d0fe,N731YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
ad2384,N946AT,,B712,1464739201,B717-2BD
acf344,N93305,EMBRAER S A,ERJ 170-200 LR,1464739200,
aa4c42,N76269,,B738,1464739201,B737-824/W
a1775f,N194DN,,B763,1464739201,B767-332 (ER)
ab284d,N818NN,,B738,1464739201,B737-823
ac623c,N8974C,BOMBARDIER INC,CL-600-2B19,1464739200,
aae9a3,N802DN,BOEING,737-932ER,1464739200,
a3b268,N33714,BOEING,B737,1464739201,B737-724/W
a434f9,N370NB,AIRBUS,A319-114,1464739200,
a976c7,N709JB,AIRBUS,A320-232,1464739200,
a8c44b,N664NK,AIRBUS,A321-231,1464739200,
a6cc41,N537US,BOEING,757-251,1464739200,
abb459,N853VA,AIRBUS,A320-214,1464739200,
a21127,N232NN,EMBRAER,ERJ 170-200 LR,1464739200,
a42020,N365NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a7d620,N604AE,,E145,1464739201,E145
a67883,N516JB,,A320,1464739201,A320-232
add2b0,N990AN,,B738,1464739201,B737-823/W
ab3133,N820DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
abb1c2,N8524Z,BOEING,737-8H4,1464739200,
a8bcdd,N662NK,AIRBUS,A321-231,1466168187,
a825e3,N624JB,AIRBUS,A320-232,1464739200,
abae2c,N8515X,BOEING,737-8H4,1466168187,
a50ff5,N425UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a2d9ea,N283JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a28c23,N263WN,BOEING,B737,1464739201,B737-7H4/W
a4c4ae,N406UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a05d92,N12201,EMBRAER,EMB-145XR,1464739200,
a4350c,N370NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a0c075,N148AN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a682ef,N519AS,BOEING,737-890,1464739200,
ad44bc,N954NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
ac508b,N893AT,BOEING,717-200,1464739200,
a445f2,N37468,BOEING,737-924ER,1466168186,
a13748,N178DZ,BOEING,767-332,1464739200,
a4a4e8,N399HA,AIRBUS A330-243,A332,1466992601,HAWAIIAN AIRLINES
a7912a,N587NW,,B753,1464739201,B757-351
a03235,N111ZM,AIRBUS INDUSTRIE,A321-231,1466168185,
a89d59,N654UA,BOEING,767-322,1464739200,
a7a59f,N592JB,,A320,1464739201,A320-232
a886bf,N649AW,,A320,1464739201,A320-232
a17c12,N195PQ,,CRJ9,1464739201,CRJ9
a390ed,N329NB,AIRBUS INDUSTRIE,A319-114,1464739200,
a0e220,N156SY,EMBRAER,ERJ 170-200 LR,1464739200,
abc7c6,N8582Z,,,1467076514,SOUTHWEST AIRLINES CO * United States
a5e29a,N479AS,BOEING 737-990,B739,1466992601,ALASKA AIRLINES
a44a48,N376CA,BOMBARDIER INC,CL-600-2C10,1464739200,
a86e35,N642RW,EMBRAER,ERJ 170-100 SE,1464739200,
a43e7f,N37263,,B738,1464739201,B737-824
ad2fd0,N949NN,BOEING,737-823,1464739200,
a83ef2,N630NK,AIRBUS,A320-232,1464739200,
a7debf,N606NK,AIRBUS,A320-232,1464739200,
aa2ba4,N75428,BOEING,737-924ER,1464739200,
a1a924,N206JQ,,E170,1464739201,E170
acd0c2,N925AE,EMBRAER,EMB-145LR,1464739200,
a16ec2,N19136,,B752,1464739201,B757-224/WL (ET)
a51763,N427UA,,A320,1464739201,A320-232
aa4548,N761AJ,,B772,1464739201,B777-223 (ER)
a43ea3,N37274,,B738,1464739201,B737-824/W
a69549,N523NK,AIRBUS,A319-132,1464739200,
a9bf4b,N727TW,BOEING,757-231,1464739200,
ab385e,N822AW,AIRBUS INDUSTRIE,A319-132,1464739200,
a854d0,N636JB,AIRBUS,A320-232,1464739200,
a8eaea,N674DL,,B752,1464739201,B757-232
a5954e,N459UA,AIRBUS INDUSTRIE,A320-232,1464739200,
ad2bea,N948LR,BOMBARDIER INC,CL-600-2D24,1466168188,
a3be8f,N340NW,,A320,1464739201,A320-212
a9e6df,N737US,,A319,1464739201,A319-112
acd5ad,N926NN,BOEING,737-823,1466168188,
a41722,N36272,BOEING,737-824,1464739200,
aaa5d4,N78524,BOEING,737-824,1464739200,
a699a1,N524UW,,A321,1464739201,A321-231
a2c93f,N279PQ,BOMBARDIER INC,CL-600-2D24,1466168185,
a535c6,N435AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a21f94,N236JB,EMBRAER,ERJ 190-100 IGW,1464739200,
ab1890,N814DN,BOEING,737-932ER,1464739200,
aaed17,N803AW,AIRBUS INDUSTRIE,A319-132,1464739200,
a44ca0,N3761R,BOEING,737-832,1464739200,
a8bc71,N662JB,,A320,1464739201,A320-232
aaf8f1,N806JB,AIRBUS A320-232,A320,1466992601,JETBLUE AIRWAYS
a6ab27,N529JB,AIRBUS INDUSTRIE,A320-232,1464739200,
a8c094,N663NK,AIRBUS,A321-231,1464739200,
aad5ca,N798AN,BOEING,777-223,1464739200,
a53b2b,N436UA,,A320,1464739201,A320-232
a94b48,N69830,BOEING,737-924ER,1466168187,
a4671f,N383HA,AIRBUS,A330-243,1464739200,
a70f88,N554NW,BOEING,757-251,1464739200,
aa76ef,N7733B,BOEING,737-76N,1464739200,
a44f0d,N377NW,AIRBUS,A320-211,1464739200,
a790b3,N587JB,,A320,1464739201,A320-232
a1094c,N166PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a385c8,N326NB,AIRBUS INDUSTRIE,A319-114,1464739200,
ab3d39,N823NN,BOEING,737-823,1464739200,
a923ef,N68843,BOEING,737-924ER,1464739200,
a4d65c,N410YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a3eeb0,N35204,,B738,1464739201,B737-824
a0fbfa,N16234,BOEING,737-824,1464739200,
a7faad,N613JB,,A320,1464739201,A320-232
a0fbb7,N16217,,B738,1464739201,B737-824
acf54f,N934JB,AIRBUS INDUSTRIE,A321-231,1466168188,
a491fb,N394DL,,B763,1464739201,B767-324 (ER)
a3c847,N34282,BOEING,737-824,1464739200,
a1e302,N220WN,BOEING,737-7H4,1464739200,
aca29a,N913JB,AIRBUS,A321-231,1466168188,
a906f3,N681AE,,E145,1464739201,ERJ-145LR
a44943,N3754A,BOEING,737-832,1464739200,
a85caa,N638NK,AIRBUS,A320-232,1464739200,
a1c6a8,N213WN,BOEING,B737,1464739201,B737-7H4/W
a7e62d,N608NK,,A320,1464739201,A320
a19df2,N203JB,,E190,1464739201,ERJ-190-100AR
ab4f5d,N828JB,AIRBUS,A320-232,1464739200,
a12072,N17185,EMBRAER,EMB-145XR,1464739200,
aa9ef9,N7837A,BOEING,737-752,1466168187,
a83f56,N630SK,,CRJ7,1464739201,CRJ7
abc651,N858NW,AIRBUS,A330-223,1464739200,
a2ca5d,N27901,BOEING,787-8,1466168185,
a47fd9,N38950,BOEING 787-9 DREAMLINER,B789,1466992601,UNITED AIRLINES
aa3226,N756US,AIRBUS INDUSTRIE,A319-112,1464739200,
a7db08,N605NK,,A320,1464739201,A320
ab6fbf,N836MH,BOEING,767-432ER,1464739200,
a8ac35,N658UA,BOEING,767-322,1464739200,
a85949,N637RW,EMBRAER,ERJ 170-100 SE,1464739200,
ab975c,N846NN,BOEING,737-823,1464739200,
abe475,N8655D,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a997e5,N717UW,AIRBUS INDUSTRIE,A319-112,1464739200,
ac2bd4,N88330,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a79d78,N590AS,BOEING,737-890,1464739200,
a8fc72,N67845,BOEING,737-924ER,1466168187,
a14104,N180DN,,B763,1464739201,B767-332 (ER)
ac6445,N898NN,BOEING,737-823,1464739200,
ac741c,N901NN,BOEING,737-823,1464739200,
aca9c4,N915FJ,,CRJ9,1464739201,CRJ9
ab6c08,N835MH,BOEING,767-432ER,1464739200,
a449e5,N3758Y,,B738,1464739201,B737-832
a33964,N307AS,BOEING,737-990,1464739200,
a6c013,N534JB,,A320,1464739201,A320-232
a48ae7,N392HA,AIRBUS,A330-243,1464739200,
ab8112,N840NN,BOEING,737-823,1464739200,
a776b2,N580JB,AIRBUS,A320-232,1464739200,
a55785,N443UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a16ff1,N192DN,BOEING,767-332,1464739200,
aa06b7,N745SK,,CRJ7,1464739201,CRJ7
a54bab,N440LV,BOEING,B737,1464739201,B737-7H4/W
ac685d,N899SK,BOMBARDIER INC,CL-600-2D24,1464739200,
a9034c,N680AW,AIRBUS,A320-232,1464739200,
a8d206,N668AW,,A320,1464739201,A320-232
a5a88c,N464AW,,CRJ2,1464739201,CRJ2
ad9ac9,N976JT,,BE9L,1464739201,BE9L
a12861,N174DN,BOEING,767-332,1464739200,
a9768a,N709FR,AIRBUS,A321-211,1466168187,
a7bfa0,N599JB,AIRBUS,A320-232,1464739200,
a97d63,N710PS,,CRJ7,1464739201,CRJ7
a43e5c,N37253,BOEING,737-824,1464739200,
a4cfd3,N409UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a0f46f,N1603,,B763,1464739201,B767-332/ER
abfc97,N8711Q,BOEING,737-8,1464739200,
ace13e,N929SW,BOMBARDIER INC,CL-600-2B19,1464739200,
ab856c,N841VA,,A320,1464739201,A320
a43fba,N373JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a11eb7,N171US,,A321,1464739201,A321-211
a8d4ef,N66841,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a6ec52,N545US,,B752,1464739201,B757-251
aa9bb8,N783AN,BOEING,777-223,1464739200,
abb0a2,N852VA,AIRBUS,A320-214,1464739200,
abb2d5,N853DN,BOEING,737-932ER,1466168187,
a72f22,N562JB,AIRBUS,A320-232,1464739200,
a69cb7,N525NK,,A319,1464739201,A319-132
a6d9bf,N540US,,B752,1464739201,B752
a9249c,N68891,BOEING 737-924,B739,1466992601,UNITED AIRLINES
ab1ffe,N816DN,BOEING,737-932ER,1466168187,
adc17b,N986AN,,B762,1464739201,B767-259ER
aa2bc5,N75436,BOEING,737-924ER,1464739200,
aa7b33,N7747C,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
a33666,N306JB,,E190,1464739201,E190
ac2a33,N883NN,,B738,1464739201,B738
ab6800,N834JB,AIRBUS A320-232,A320,1466992601,JETBLUE AIRWAYS
ada6ed,N979UY,AIRBUS,A321-231,1464739200,
a3c5fd,N342NW,,A320,1464739201,A320-212
a887fd,N649PP,EMBRAER,EMB-145LR,1464739200,
a6b435,N531AS,,B738,1464739201,B738
a8b56f,N660NK,AIRBUS,A321-231,1464739200,
abf375,N8696E,BOEING,737-8H4,1464739200,
a41131,N361NB,,A319,1464739201,A319-114
a6c311,N535AS,,B738,1464739201,B738
aa9e28,N7831B,BOEING,737-7CT,1466168187,
a43667,N37018,BOEING,777-224,1464739200,
abd5e0,N8617E,BOEING,737-8H4,1466168187,
a0337a,N11187,EMBRAER,EMB-145XR,1464739200,
aa3966,N758SW,BOEING,737-7H4,1464739200,
ac8289,N905JB,AIRBUS INDUSTRIE,A321-231,1466168187,
2bd8e4,N8622A,BOEING 737-8H4,73H,1466992601,SOUTHWEST AIRLINES
a59601,N45905,BOEING,787-8,1464739200,
a92384,N68811,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a9d62e,N73299,,B738,1464739201,B737-824/W
a097cc,N13716,,B738,1464739201,B737-824
a12fda,N176DZ,,B763,1464739201,B767-332 (ER)
a8d76b,N669UA,BOEING,767-322,1464739200,
a94156,N696DL,BOEING,757-232,1464739200,
a5db4e,N477CA,,CRJ2,1464739201,CRJ2
aab2bf,N789JB,AIRBUS,A320-232,1464739200,
ab4151,N824SK,,CRJ9,1464739201,CRJ9
a42ace,N368JB,EMBRAER,ERJ 190-100 IGW,1466168186,
a78cfc,N586JB,AIRBUS,A320-232,1464739200,
a98520,N712SW,BOEING,737-7H4,1464739200,
a54aae,N440AS,,GLF4,1464739201,G-4-X (G450)
aa92f8,N78001,BOEING,777-224,1464739200,
ade548,N995AT,BOEING,717-200,1464739200,
acb636,N918US,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a0de99,N155UW,AIRBUS,A321-211,1464739200,
a19a48,N202JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a9961b,N717AN,BOEING,777-323ER,1464739200,
aa8b40,N779JB,AIRBUS,A320-232,1464739200,
a9b2e0,N724EV,,CRJ7,1464739201,CRJ7
a48315,N390DA,,B738,1464739201,B737-832
abe80e,N8664J,BOEING,737-8H4,1464739200,
ad9b94,N976SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a79768,N589AS,BOEING,737-890,1464739200,
a5b764,N468AS,BOEING,737-990ER,1466168186,
ac5cd7,N896NN,,B738,1464739201,B738
a13de2,N17963,BOEING,787-9,1464739200,
a6587b,N508JL,,A320,1464739201,A320
ac77d3,N902NN,,B738,1464739201,B738
a919cd,N686DA,,B752,1464739201,B757-232
a1d059,N216FR,,A320,1464739201,A320
a732d9,N563JB,,A320,1464739201,A320-232
a60bcb,N489UA,,A320,1464739201,A320-232
abd3cf,N861NW,,A332,1464739201,A330-223
ab5b66,N8305E,,B738,1464739201,B738
a56a56,N448WN,BOEING,737-7H4,1464739200,
a7b4f2,N596NW,,B753,1464739201,B757-351
ab4bf7,N827MH,,B764,1464739201,B767-432ER
a3e9b2,N351NB,AIRBUS,A319-114,1464739200,
abda54,N863DN,BOEING,737-932ER,1464739200,
a2107b,N232FR,AIRBUS,A320-214,1464739200,
aa4252,N760JB,,A320,1464739201,UNKNOWN
ac02b4,N873NN,BOEING,737-823,1464739200,
abf9b1,N8707P,BOEING,737-8,1464739200,
a99077,N715UW,,A319,1464739201,A319-112
a7d2ae,N603CZ,,E170,1464739201,EMB 170-200LR
a8b926,N661NK,AIRBUS,A321-231,1464739200,
a234c0,N241LR,BOMBARDIER INC,CL-600-2D24,1464739200,
a6a300,N527AS,,B738,1464739201,B738
a8b8ba,N661JB,,A320,1464739201,A320-232
a35de5,N316JB,EMBRAER,ERJ 190-100 IGW,1464739200,
ac5f32,N8969A,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a8ae7f,N659DL,BOEING,757-232,1464739200,
a8bc13,N662EH,,E145,1464739201,ERJ-145LR
a11fc6,N17138,,E145,1464739201,EMB-145XR
ab09b4,N810DN,BOEING,737-932ER,1466168187,
a9b9e3,N726AN,BOEING,777-323ER,1464739200,
a94c2a,N699AE,EMBRAER,EMB-145LR,1464739200,
a5f208,N482WN,BOEING,B737,1464739201,B737
abd063,N860RW,EMBRAER,ERJ 170-100 SE,1464739200,
a45bfa,N380HA,AIRBUS,A330-243,1464739200,
a9607d,N703JB,AIRBUS,A320-232,1464739200,
aa9b20,N7826B,BOEING,737-79P,1466168187,
a45fb1,N381HA,AIRBUS,A330-243,1464739200,
aa2bc1,N75432,BOEING,737-924ER,1464739200,
a97da7,N710SK,BOMBARDIER INC,CL-600-2C10,1464739200,
abb440,N853UA,AIRBUS,A319-131,1464739200,
a754b5,N57111,,B752,1464739201,B757-224
ad4528,N954SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200ER
a11f9d,N17122,,B752,1464739201,B757-224
a73690,N564JB,AIRBUS,A320-232,1464739200,
a2a2e3,N26906,BOEING,787-8,1464739200,
a8c802,N665NK,AIRBUS,A321-231,1464739200,
a059e3,N12109,,B752,1464739201,B757-224
a76f67,N57863,,B753,1464739201,B757-33N
a0acfd,N14235,BOEING,737-824,1464739200,
a5251f,N430WN,BOEING,B737,1464739201,B737-7H4/W
a05614,N1200K,BOEING,767-332,1464739200,
a5fef4,N486AS,BOEING,737-990ER,1464739200,
ab60e3,N832MH,BOEING,767-432ER,1464739200,
adda1e,N992AN,,B738,1464739201,B737-823
a03261,N11106,,E145,1464739201,ERJ-145XR
ad0074,N937JB,AIRBUS A321-231,A321,1466992601,JETBLUE AIRWAYS
a6464b,N503NK,,A319,1464739201,A319-132
a70333,N551AS,BOEING,737-890,1464739200,
a7fdab,N614AS,BOEING,737-790,1464739200,
ad73a9,N966NN,BOEING,737-823,1464739200,
aaf0c6,N804AN,BOEING,787-8,1464739200,
a5ce40,N473WN,BOEING,B737,1464739201,B737
aa7082,N772AN,,B772,1464739201,B777-223 (ER)
aafd1f,N807NW,AIRBUS,A330-323,1464739200,
a1515b,N184US,,A321,1464739201,A321-211
ab0a95,N810NN,BOEING,737-823,1464739200,
a499c3,N396HA,AIRBUS A330-243,A332,1466992601,HAWAIIAN AIRLINES
a6cff8,N538US,,B752,1464739201,B757-251 (ET)/W
a07b3e,N130AN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a11f5a,N17105,BOEING,757-224,1464739200,
a66ca5,N513AS,BOEING,737-890,1464739200,
aaf53a,N805JB,AIRBUS,A320-232,1464739200,
a8a3ce,N656JB,AIRBUS,A320-232,1464739200,
a77b76,N581UW,AIRBUS INDUSTRIE,A321-231,1464739200,
ab9de9,N848DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a52e58,N433AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a163f2,N189UW,,A321,1464739201,A321-211
a4943e,N39415,BOEING,737-924ER,1464739200,
ab5a1d,N830UA,,A319,1464739201,A319-131
aae582,N8009T,AIRBUS A319-115,A319,1466992601,AMERICAN AIRLINES
aa44cd,N76062,BOEING,767-424ER,1464739200,
ad9645,N975AN,,B738,1464739201,B737-823
a794e1,N588NW,,B753,1464739201,B757-351
a4453e,N37413,BOEING,737-924ER,1464739200,
aa6ba4,N77019,BOEING,777-224,1464739200,
a79898,N589NW,,B753,1464739201,B757-351
a7f631,N612AE,EMBRAER,EMB-145,1464739200,
a8a110,N655UA,BOEING,767-322,1464739200,
a91d8e,N687DL,,B752,1464739201,B757-232
a69424,N523AS,BOEING,737-890,1464739200,
a2a300,N26910,BOEING,787-8,1464739200,
a4a484,N399DA,,B738,1464739201,B737-832
ab6851,N834MH,BOEING,767-432ER,1464739200,
a7e9e4,N609NK,,A320,1464739201,A320
ac48c8,N8908D,BOMBARDIER INC,CL-600-2B19,1464739200,
ad7da2,N969AN,BOEING,737-823,1464739200,
a8e2d6,N67171,,B752,1464739201,B757-232
aa2184,N752AN,BOEING,777-223,1464739200,
aa5f41,N768AA,BOEING,777-223,1464739200,
ab2855,N818NW,AIRBUS,A330-323,1464739200,
a8f5be,N677AE,EMBRAER,EMB-145LR,1464739200,
aa099e,N746JB,AIRBUS,A320-232,1464739200,
abb007,N852NW,,A332,1464739201,A330-223
a05470,N120HQ,,E170,1464739201,ERJ-170-200LR
a838e2,N629NK,AIRBUS A320-232,A320,1466992601,SPIRIT AIRLINES
aab187,N78866,BOEING,757-33N,1464739200,
aa596c,N766SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a5b1a8,N466UA,,A320,1464739201,A320-232
a92ddf,N69059,BOEING,767-424ER,1464739200,
ac608e,N897NN,,B738,1464739201,B738
a6cffc,N538UW,AIRBUS,A321-231,1464739200,
a14c9b,N183JB,,E190,1464739201,ERJ-190-100AR
a0855d,N13227,,B738,1464739201,B737-824/W
ab77ee,N838VA,,A320,1464739201,A320
aa28f2,N754AN,,B772,1464739201,B777-223 (ER)
a94ae5,N69806,BOEING,737-924ER,1466168187,
a34215,N309PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
ac8d5c,N908EV,,CRJ2,1464739201,CRJ2
a5c725,N471ZW,BOMBARDIER INC,CL-600-2B19,1464739200,
abd010,N860NN,,B738,1464739201,B738
a0d90c,N154AA,AIRBUS,A321-231,1464739200,
a59d67,N461AW,,CRJ2,1464739201,CRJ2
a448ba,N3750D,,B738,1464739201,B737-832
aca3a3,N913US,AIRBUS,A321-231,1464739200,
ac8009,N904WN,BOEING,B737,1464739201,B737-7H4/W
ad036e,N938AN,,B738,1464739201,B737-823
aa4c1a,N76254,,B738,1464739201,B737-824
aaf111,N804DN,BOEING,737-932ER,1464739200,
aaf1fa,N804NW,,A333,1464739201,A330-323 (X)
ab3d41,N823NW,AIRBUS A330-302,A333,1466992601,DELTA AIR LINES
a10e29,N16709,BOEING,737-724,1464739200,
a86ab5,N641UA,,B763,1464739201,B767-322 (ER)
a3dfeb,N349NB,,A319,1464739201,A319-114
ab7b02,N839NN,BOEING,737-823,1464739200,
aafbdf,N807AA,BOEING 787-8 DREAMLINER,B788,1466992601,AMERICAN AIRLINES
a46304,N382DA,,B738,1464739201,B737-832
a8deb4,N6704Z,BOEING,757-232,1464739200,
a5c694,N471UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a64db9,N505NK,AIRBUS,A319-132,1464739200,
aa9300,N78009,BOEING,777-224,1464739200,
a8fd73,N679DA,BOEING,757-232,1464739200,
a45072,N3772H,,B738,1464739201,B738
a16883,N190DN,BOEING,767-332,1464739200,
a81006,N61887,BOEING,737-924ER,1464739200,
aa435b,N760US,AIRBUS INDUSTRIE,A319-112,1464739200,
ab44af,N825NW,AIRBUS,A330-302,1464739200,
ab7b8c,N839UA,AIRBUS INDUSTRIE,A319-131,1464739200,
a2dffe,N28457,BOEING,737-924ER,1464739200,
a45586,N379DA,,B738,1464739201,B737-832
a5d45d,N475HA,BOEING 717-22A,B712,1466992601,HAWAIIAN AIRLINES
a8f77c,N677UA,,B763,1464739201,B767-322 (ER)
a50887,N423UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a92d6d,N69020,,B772,1464739201,B777-224 (ER)
a09961,N138EV,BOMBARDIER INC,CL-600-2D24,1464739200,
ab400f,N824DN,BOEING,737-932ER,1464739200,
a64a02,N504NK,AIRBUS,A319-132,1464739200,
acb9ed,N919US,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
ad1560,N942JB,AIRBUS A321-231,A321,1466992601,JETBLUE AIRWAYS
